Date,Year,Quarter,Month,MonthName,Day,DayOfWeek,IsWeekend,WeekOfYear,YearMonth
2010-05-15,2010,2,5,May,15,Saturday,True,19,2010-05
2010-05-16,2010,2,5,May,16,Sunday,True,19,2010-05
2010-05-17,2010,2,5,May,17,Monday,False,20,2010-05
2010-05-18,2010,2,5,May,18,Tuesday,False,20,2010-05
2010-05-19,2010,2,5,May,19,Wednesday,False,20,2010-05
2010-05-20,2010,2,5,May,20,Thursday,False,20,2010-05
2010-05-21,2010,2,5,May,21,Friday,False,20,2010-05
2010-05-22,2010,2,5,May,22,Saturday,True,20,2010-05
2010-05-23,2010,2,5,May,23,Sunday,True,20,2010-05
2010-05-24,2010,2,5,May,24,Monday,False,21,2010-05
2010-05-25,2010,2,5,May,25,Tuesday,False,21,2010-05
2010-05-26,2010,2,5,May,26,Wednesday,False,21,2010-05
2010-05-27,2010,2,5,May,27,Thursday,False,21,2010-05
2010-05-28,2010,2,5,May,28,Friday,False,21,2010-05
2010-05-29,2010,2,5,May,29,Saturday,True,21,2010-05
2010-05-30,2010,2,5,May,30,Sunday,True,21,2010-05
2010-05-31,2010,2,5,May,31,Monday,False,22,2010-05
2010-06-01,2010,2,6,June,1,Tuesday,False,22,2010-06
2010-06-02,2010,2,6,June,2,Wednesday,False,22,2010-06
2010-06-03,2010,2,6,June,3,Thursday,False,22,2010-06
2010-06-04,2010,2,6,June,4,Friday,False,22,2010-06
2010-06-05,2010,2,6,June,5,Saturday,True,22,2010-06
2010-06-06,2010,2,6,June,6,Sunday,True,22,2010-06
2010-06-07,2010,2,6,June,7,Monday,False,23,2010-06
2010-06-08,2010,2,6,June,8,Tuesday,False,23,2010-06
2010-06-09,2010,2,6,June,9,Wednesday,False,23,2010-06
2010-06-10,2010,2,6,June,10,Thursday,False,23,2010-06
2010-06-11,2010,2,6,June,11,Friday,False,23,2010-06
2010-06-12,2010,2,6,June,12,Saturday,True,23,2010-06
2010-06-13,2010,2,6,June,13,Sunday,True,23,2010-06
2010-06-14,2010,2,6,June,14,Monday,False,24,2010-06
2010-06-15,2010,2,6,June,15,Tuesday,False,24,2010-06
2010-06-16,2010,2,6,June,16,Wednesday,False,24,2010-06
2010-06-17,2010,2,6,June,17,Thursday,False,24,2010-06
2010-06-18,2010,2,6,June,18,Friday,False,24,2010-06
2010-06-19,2010,2,6,June,19,Saturday,True,24,2010-06
2010-06-20,2010,2,6,June,20,Sunday,True,24,2010-06
2010-06-21,2010,2,6,June,21,Monday,False,25,2010-06
2010-06-22,2010,2,6,June,22,Tuesday,False,25,2010-06
2010-06-23,2010,2,6,June,23,Wednesday,False,25,2010-06
2010-06-24,2010,2,6,June,24,Thursday,False,25,2010-06
2010-06-25,2010,2,6,June,25,Friday,False,25,2010-06
2010-06-26,2010,2,6,June,26,Saturday,True,25,2010-06
2010-06-27,2010,2,6,June,27,Sunday,True,25,2010-06
2010-06-28,2010,2,6,June,28,Monday,False,26,2010-06
2010-06-29,2010,2,6,June,29,Tuesday,False,26,2010-06
2010-06-30,2010,2,6,June,30,Wednesday,False,26,2010-06
2010-07-01,2010,3,7,July,1,Thursday,False,26,2010-07
2010-07-02,2010,3,7,July,2,Friday,False,26,2010-07
2010-07-03,2010,3,7,July,3,Saturday,True,26,2010-07
2010-07-04,2010,3,7,July,4,Sunday,True,26,2010-07
2010-07-05,2010,3,7,July,5,Monday,False,27,2010-07
2010-07-06,2010,3,7,July,6,Tuesday,False,27,2010-07
2010-07-07,2010,3,7,July,7,Wednesday,False,27,2010-07
2010-07-08,2010,3,7,July,8,Thursday,False,27,2010-07
2010-07-09,2010,3,7,July,9,Friday,False,27,2010-07
2010-07-10,2010,3,7,July,10,Saturday,True,27,2010-07
2010-07-11,2010,3,7,July,11,Sunday,True,27,2010-07
2010-07-12,2010,3,7,July,12,Monday,False,28,2010-07
2010-07-13,2010,3,7,July,13,Tuesday,False,28,2010-07
2010-07-14,2010,3,7,July,14,Wednesday,False,28,2010-07
2010-07-15,2010,3,7,July,15,Thursday,False,28,2010-07
2010-07-16,2010,3,7,July,16,Friday,False,28,2010-07
2010-07-17,2010,3,7,July,17,Saturday,True,28,2010-07
2010-07-18,2010,3,7,July,18,Sunday,True,28,2010-07
2010-07-19,2010,3,7,July,19,Monday,False,29,2010-07
2010-07-20,2010,3,7,July,20,Tuesday,False,29,2010-07
2010-07-21,2010,3,7,July,21,Wednesday,False,29,2010-07
2010-07-22,2010,3,7,July,22,Thursday,False,29,2010-07
2010-07-23,2010,3,7,July,23,Friday,False,29,2010-07
2010-07-24,2010,3,7,July,24,Saturday,True,29,2010-07
2010-07-25,2010,3,7,July,25,Sunday,True,29,2010-07
2010-07-26,2010,3,7,July,26,Monday,False,30,2010-07
2010-07-27,2010,3,7,July,27,Tuesday,False,30,2010-07
2010-07-28,2010,3,7,July,28,Wednesday,False,30,2010-07
2010-07-29,2010,3,7,July,29,Thursday,False,30,2010-07
2010-07-30,2010,3,7,July,30,Friday,False,30,2010-07
2010-07-31,2010,3,7,July,31,Saturday,True,30,2010-07
2010-08-01,2010,3,8,August,1,Sunday,True,30,2010-08
2010-08-02,2010,3,8,August,2,Monday,False,31,2010-08
2010-08-03,2010,3,8,August,3,Tuesday,False,31,2010-08
2010-08-04,2010,3,8,August,4,Wednesday,False,31,2010-08
2010-08-05,2010,3,8,August,5,Thursday,False,31,2010-08
2010-08-06,2010,3,8,August,6,Friday,False,31,2010-08
2010-08-07,2010,3,8,August,7,Saturday,True,31,2010-08
2010-08-08,2010,3,8,August,8,Sunday,True,31,2010-08
2010-08-09,2010,3,8,August,9,Monday,False,32,2010-08
2010-08-10,2010,3,8,August,10,Tuesday,False,32,2010-08
2010-08-11,2010,3,8,August,11,Wednesday,False,32,2010-08
2010-08-12,2010,3,8,August,12,Thursday,False,32,2010-08
2010-08-13,2010,3,8,August,13,Friday,False,32,2010-08
2010-08-14,2010,3,8,August,14,Saturday,True,32,2010-08
2010-08-15,2010,3,8,August,15,Sunday,True,32,2010-08
2010-08-16,2010,3,8,August,16,Monday,False,33,2010-08
2010-08-17,2010,3,8,August,17,Tuesday,False,33,2010-08
2010-08-18,2010,3,8,August,18,Wednesday,False,33,2010-08
2010-08-19,2010,3,8,August,19,Thursday,False,33,2010-08
2010-08-20,2010,3,8,August,20,Friday,False,33,2010-08
2010-08-21,2010,3,8,August,21,Saturday,True,33,2010-08
2010-08-22,2010,3,8,August,22,Sunday,True,33,2010-08
2010-08-23,2010,3,8,August,23,Monday,False,34,2010-08
2010-08-24,2010,3,8,August,24,Tuesday,False,34,2010-08
2010-08-25,2010,3,8,August,25,Wednesday,False,34,2010-08
2010-08-26,2010,3,8,August,26,Thursday,False,34,2010-08
2010-08-27,2010,3,8,August,27,Friday,False,34,2010-08
2010-08-28,2010,3,8,August,28,Saturday,True,34,2010-08
2010-08-29,2010,3,8,August,29,Sunday,True,34,2010-08
2010-08-30,2010,3,8,August,30,Monday,False,35,2010-08
2010-08-31,2010,3,8,August,31,Tuesday,False,35,2010-08
2010-09-01,2010,3,9,September,1,Wednesday,False,35,2010-09
2010-09-02,2010,3,9,September,2,Thursday,False,35,2010-09
2010-09-03,2010,3,9,September,3,Friday,False,35,2010-09
2010-09-04,2010,3,9,September,4,Saturday,True,35,2010-09
2010-09-05,2010,3,9,September,5,Sunday,True,35,2010-09
2010-09-06,2010,3,9,September,6,Monday,False,36,2010-09
2010-09-07,2010,3,9,September,7,Tuesday,False,36,2010-09
2010-09-08,2010,3,9,September,8,Wednesday,False,36,2010-09
2010-09-09,2010,3,9,September,9,Thursday,False,36,2010-09
2010-09-10,2010,3,9,September,10,Friday,False,36,2010-09
2010-09-11,2010,3,9,September,11,Saturday,True,36,2010-09
2010-09-12,2010,3,9,September,12,Sunday,True,36,2010-09
2010-09-13,2010,3,9,September,13,Monday,False,37,2010-09
2010-09-14,2010,3,9,September,14,Tuesday,False,37,2010-09
2010-09-15,2010,3,9,September,15,Wednesday,False,37,2010-09
2010-09-16,2010,3,9,September,16,Thursday,False,37,2010-09
2010-09-17,2010,3,9,September,17,Friday,False,37,2010-09
2010-09-18,2010,3,9,September,18,Saturday,True,37,2010-09
2010-09-19,2010,3,9,September,19,Sunday,True,37,2010-09
2010-09-20,2010,3,9,September,20,Monday,False,38,2010-09
2010-09-21,2010,3,9,September,21,Tuesday,False,38,2010-09
2010-09-22,2010,3,9,September,22,Wednesday,False,38,2010-09
